scene_id,start_time,end_time,source_type,flashcard_word,custom_image_path,image_prompt,reason,subtitle_reference
11,202,217,AI,,,"A split screen showing a calendar on one side and a map with a glowing pin on the other, connected by a dotted line, symbolizing planning a meeting, aspect ratio 16:9, cinematic wide shot",串場，用故事線開始介紹下一組單字,"[0:03:22.220000-->0:03:25.320000] 那剛剛你力據有提到Anywhere可以 | [0:03:25.320000-->0:03:26.960000] 在任何地方見面。 | [0:03:27.140000-->0:03:27.320000] 對啊。 | [0:03:27.460000-->0:03:30.020000] 那如果我們真的要安排一場見面, | [0:03:30.140000-->0:03:32.260000] 這中間會發生什麼事呢? | [0:03:32.560000-->0:03:34.980000] 我們用單字來串成一個故事吧。 | [0:03:35.200000-->0:03:35.500000] 喔, | [0:03:35.500000-->0:03:36.480000] 聽起來很有趣, | [0:03:36.660000-->0:03:37.060000] 來吧。"
12,217,232,FLASHCARD,arrange,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/arrange.png,,解釋單字 arrange 的意思並舉例,"[0:03:37.260000-->0:03:37.680000] 首先, | [0:03:37.860000-->0:03:39.600000] 你要先安排時間嘛。 | [0:03:40.080000-->0:03:40.880000] Arrange, | [0:03:41.080000-->0:03:42.300000] 動詞安排。 | [0:03:42.620000-->0:03:43.300000] Arrange? | [0:03:44.260000-->0:03:45.420000] Canyouarrangeameeting | [0:03:45.420000-->0:03:46.040000] fornextweek? | [0:03:46.040000-->0:03:48.340000] 你能安排下週的會議嗎? | [0:03:48.540000-->0:03:49.460000] 那安排好之後, | [0:03:49.600000-->0:03:51.920000] 時間到了就要抵達現場囉。"
13,232,242,FLASHCARD,arrive,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/arrive.png,,解釋單字 arrive 的意思並舉例,"[0:03:52.140000-->0:03:52.380000] 沒錯, | [0:03:52.740000-->0:03:53.580000] Arrive, | [0:03:53.800000-->0:03:54.960000] 動詞到達。 | [0:03:55.160000-->0:03:55.980000] 嗯哼。 | [0:03:56.180000-->0:03:57.980000] 像是Wewillarriveatthe | [0:03:57.980000-->0:03:59.060000] airportbynoon。 | [0:03:59.440000-->0:04:01.380000] 我們中午全會抵達機場。 | [0:04:01.600000-->0:04:01.980000] 對,"
14,242,272,FLASHCARD,appear,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/appear.png,,解釋單字 appear 的兩種意思（出現、看起來）並舉例,"[0:04:02.220000-->0:04:05.700000] 那到達之後你朋友終於出現了Appear, | [0:04:06.020000-->0:04:08.400000] 動詞出現或是看起來。 | [0:04:08.780000-->0:04:09.080000] 等等, | [0:04:09.620000-->0:04:11.880000] Appear不是魔術師變魔術那種噴一 | [0:04:11.880000-->0:04:12.800000] 聲出現的意思嗎? | [0:04:13.280000-->0:04:14.600000] 怎麼會有看起來的意思? | [0:04:14.600000-->0:04:16.480000] 這是一個很好的問題喔。 | [0:04:16.660000-->0:04:17.480000] 其實你想想, | [0:04:17.780000-->0:04:21.180000] 一個人呈現在你眼前的樣子不就是他看起來 | [0:04:21.180000-->0:04:22.040000] 的狀態嗎? | [0:04:22.420000-->0:04:22.660000] 喔, | [0:04:22.720000-->0:04:23.540000] 對耶。 | [0:04:23.820000-->0:04:24.220000] 所以, | [0:04:24.520000-->0:04:25.140000] 例句, | [0:04:25.400000-->0:04:27.280000] Heappearshappytoday。 | [0:04:27.800000-->0:04:29.540000] 他今天看起來很開心。 | [0:04:30.280000-->0:04:32.800000] 原來這兩個意思是可以連起來的。"
15,272,284,FLASHCARD,ask,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/ask.png,,解釋單字 ask 的意思並舉例,"[0:04:33.140000-->0:04:33.660000] 沒錯, | [0:04:34.140000-->0:04:36.700000] 那見面之後你們可能開始聊天, | [0:04:36.880000-->0:04:38.320000] 你可能會問他問題。 | [0:04:38.720000-->0:04:39.240000] Ask, | [0:04:39.420000-->0:04:40.460000] 動詞問。 | [0:04:40.800000-->0:04:42.120000] Don'tbeafraidtoask | [0:04:42.120000-->0:04:42.640000] forhelp。 | [0:04:43.020000-->0:04:44.440000] 別害怕尋求幫助。"
16,284,299,FLASHCARD,answer,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/answer.png,,解釋單字 answer 的意思並舉例，並開始串接到下一個情境,"[0:04:44.440000-->0:04:46.940000] 接著他就要回答你啦。 | [0:04:47.220000-->0:04:47.620000] Answer, | [0:04:47.700000-->0:04:48.860000] 動詞回答。 | [0:04:49.060000-->0:04:50.220000] Pleaseanswermyquestion | [0:04:50.220000-->0:04:50.680000] clearly。 | [0:04:51.180000-->0:04:52.840000] 請清楚回答我的問題。 | [0:04:53.280000-->0:04:54.200000] 可是呢, | [0:04:54.220000-->0:04:55.800000] 如果回答得不清楚, | [0:04:56.060000-->0:04:57.300000] 兩人意見不合, | [0:04:57.540000-->0:04:59.200000] 可能就會開始爭論了。"
17,299,310,FLASHCARD,argue,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/argue.png,,解釋單字 argue 的意思並舉例,"[0:04:59.540000-->0:05:00.060000] 哎呀, | [0:05:00.100000-->0:05:01.120000] 吵起來了。 | [0:05:01.480000-->0:05:01.980000] Argue, | [0:05:02.180000-->0:05:02.760000] 動詞, | [0:05:03-->0:05:04.740000] 爭論或是辯論。 | [0:05:04.940000-->0:05:05.440000] Argue, | [0:05:05.900000-->0:05:07.100000] don'targuewithmeabout | [0:05:07.100000-->0:05:07.480000] this。 | [0:05:07.900000-->0:05:09.920000] 不要為了這件事跟我爭論。"
18,310,320,FLASHCARD,angry,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/angry.png,,解釋單字 angry 的意思並舉例,"[0:05:10.300000-->0:05:12.800000] 吵架之後情緒一定會不好嗎? | [0:05:12.800000-->0:05:13.900000] Angry, | [0:05:14.040000-->0:05:14.840000] 形容詞, | [0:05:15.100000-->0:05:15.960000] 生氣的。 | [0:05:16.040000-->0:05:17.360000] Shewasangryaboutthe | [0:05:17.360000-->0:05:17.680000] delay。 | [0:05:18.320000-->0:05:19.940000] 她對延誤感到生氣。"
19,320,332,FLASHCARD,apologize,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/apologize.png,,解釋單字 apologize 的意思並舉例,"[0:05:20.260000-->0:05:22.500000] 不過好朋友還是要和好啊。 | [0:05:22.600000-->0:05:24.660000] 冷靜下來之後就要道歉。 | [0:05:24.920000-->0:05:25.780000] Apologize, | [0:05:25.920000-->0:05:26.440000] 動詞, | [0:05:26.620000-->0:05:27.160000] 道歉。 | [0:05:27.460000-->0:05:28.440000] Youshouldapologize | [0:05:28.440000-->0:05:29.340000] foryourmistake。 | [0:05:29.840000-->0:05:31.680000] 你應該為你的錯誤道歉。"
20,332,343,FLASHCARD,appreciate,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/appreciate.png,,解釋單字 appreciate 的意思並舉例,"[0:05:32.160000-->0:05:33.520000] 只要對方願意道歉, | [0:05:33.640000-->0:05:35.040000] 我們就要懂得感激。 | [0:05:35.480000-->0:05:36.120000] Appreciate, | [0:05:36.320000-->0:05:36.820000] 動詞, | [0:05:37.120000-->0:05:38.580000] 欣賞或是感激。 | [0:05:38.920000-->0:05:40.200000] Ireallyappreciateyour | [0:05:40.200000-->0:05:40.460000] help。 | [0:05:40.460000-->0:05:43.040000] 我真的很感謝你的幫助。"
21,343,372,AI,,,"An animated timeline showing a sequence of emotional icons: crossed swords (argue), a red angry face (angry), a bowing person (apologize), and a shining heart (appreciate), aspect ratio 16:9, cinematic wide shot",總結 argue 到 appreciate 的故事線與單字關聯,"[0:05:43.140000-->0:05:44.400000] 大家有沒有發現, | [0:05:44.680000-->0:05:46.480000] 這兩個化解衝突的字 | [0:05:46.480000-->0:05:49.160000] Apologize和Appreciate | [0:05:49.160000-->0:05:51.160000] 發音的開頭是不是很像? | [0:05:51.700000-->0:05:52.280000] 對耶, | [0:05:52.280000-->0:05:53.900000] 都是AP開頭。 | [0:05:54.260000-->0:05:54.540000] 沒錯, | [0:05:54.900000-->0:05:57.060000] 你可以用這個情緒轉折來記。 | [0:05:57.420000-->0:05:58.280000] 從Argue, | [0:05:58.440000-->0:05:58.880000] 爭論, | [0:05:59.140000-->0:06:00.200000] 變成Angry, | [0:06:00.360000-->0:06:01] 生氣。 | [0:06:01.120000-->0:06:02.300000] 然後Apologize, | [0:06:02.440000-->0:06:02.980000] 道歉。 | [0:06:03.240000-->0:06:04.520000] 最後Appreciate, | [0:06:04.660000-->0:06:05.080000] 感謝。 | [0:06:05.600000-->0:06:05.900000] 哇, | [0:06:05.940000-->0:06:07.820000] 這個故事線也太順了吧。 | [0:06:08.080000-->0:06:10.100000] 這樣一串字就全部記起來了耶。 | [0:06:10.100000-->0:06:12.700000] 這就是聯想記憶的好處啦。"
22,372,383,AI,,,"A stylized animation of a character walking away from a cafe and towards a cozy-looking apartment building at dusk, aspect ratio 16:9, cinematic wide shot",故事串場，轉換場景到回家休息,"[0:06:12.900000-->0:06:13.040000] 對啊, | [0:06:13.420000-->0:06:16.560000] 那經歷了這麼充滿情緒起伏的見面, | [0:06:16.720000-->0:06:17.120000] 啊, | [0:06:17.120000-->0:06:17.920000] 我覺得好累喔, | [0:06:17.920000-->0:06:19.040000] 好想回家休息。 | [0:06:19.220000-->0:06:19.840000] 沒問題, | [0:06:20.120000-->0:06:23.460000] 那我們就把場景拉回舒適的家裡吧。"
23,383,394,FLASHCARD,apartment,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/apartment.png,,解釋單字 apartment 的意思並舉例,"[0:06:23.840000-->0:06:24.400000] Apartment, | [0:06:24.780000-->0:06:25.460000] 名詞, | [0:06:25.680000-->0:06:26.280000] 公寓。 | [0:06:26.480000-->0:06:27.020000] Apartment, | [0:06:27.560000-->0:06:29.260000] myapartmentissmall | [0:06:29.260000-->0:06:30.220000] butcozy。 | [0:06:30.600000-->0:06:33.640000] 我的公寓雖小但很舒適。 | [0:06:33.780000-->0:06:34.580000] 雖然小,"
24,394,408,FLASHCARD,area,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/area.png,,解釋單字 area 的意思並舉例,"[0:06:34.840000-->0:06:37.800000] 但是自己住的Area總是最放鬆的。 | [0:06:37.800000-->0:06:38.420000] 沒錯, | [0:06:38.780000-->0:06:39.360000] Area, | [0:06:39.640000-->0:06:40.200000] 名詞, | [0:06:40.460000-->0:06:42.240000] 區域或範圍。 | [0:06:42.280000-->0:06:44.520000] Thisareaisquietand | [0:06:44.520000-->0:06:44.900000] safe。 | [0:06:45.500000-->0:06:47.560000] 這個區域安靜又安全。 | [0:06:47.900000-->0:06:48.600000] 回到家,"
25,408,421,FLASHCARD,armchair,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/armchair.png,,解釋單字 armchair 的意思並舉例,"[0:06:48.960000-->0:06:51.500000] 最舒服的就是攤在椅子上。 | [0:06:52.020000-->0:06:52.780000] Armchair, | [0:06:53.180000-->0:06:53.760000] 名詞, | [0:06:54.040000-->0:06:54.740000] 扶手椅。 | [0:06:54.920000-->0:06:56.780000] Heenjoysreadinginhis | [0:06:56.780000-->0:06:58.080000] comfortablearmchair。 | [0:06:58.560000-->0:07:01.500000] 他喜歡坐在舒適的扶手椅上看書。"
26,421,434,FLASHCARD,asleep,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/asleep.png,,解釋單字 asleep 的意思並舉例,"[0:07:01.740000-->0:07:05.500000] 坐著坐著太舒服了就不小心睡著了。 | [0:07:05.500000-->0:07:06.560000] Asleep, | [0:07:06.820000-->0:07:07.580000] 形容詞, | [0:07:07.800000-->0:07:08.680000] 睡著的。 | [0:07:08.680000-->0:07:10.320000] Thebabyfellasleepin | [0:07:10.320000-->0:07:11.400000] hismother'sarms. | [0:07:12.080000-->0:07:14.200000] 寶寶在媽媽懷裡睡著了。"
27,434,452,AI,,,"A magnifying glass hovering over the word 'armchair', with an X-ray effect revealing the word 'arm' glowing inside, aspect ratio 16:9, cinematic wide shot",閒聊發現 armchair 和 arm 的關聯性,"[0:07:14.300000-->0:07:14.560000] 對。 | [0:07:14.800000-->0:07:15.160000] 等一下, | [0:07:15.520000-->0:07:15.820000] Mary, | [0:07:16.140000-->0:07:17.980000] 我發現一件很有趣的事。 | [0:07:18.300000-->0:07:18.620000] 喔, | [0:07:18.720000-->0:07:19.200000] 什麼事? | [0:07:19.360000-->0:07:20.260000] 你看喔, | [0:07:20.260000-->0:07:20.900000] Armchair, | [0:07:21.220000-->0:07:22.340000] 扶手椅這個字裡面, | [0:07:22.660000-->0:07:24.100000] 有Arm這個單字。 | [0:07:24.560000-->0:07:26.580000] 然後剛剛Asleep的例句裡, | [0:07:26.820000-->0:07:29.340000] 也在媽媽的Arms懷裡睡著。 | [0:07:29.560000-->0:07:29.880000] 哇, | [0:07:29.880000-->0:07:32.320000] 你的觀察力真的很敏銳耶。"
28,452,470,FLASHCARD,arm,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/arm.png,,解釋單字 arm 的意思並舉例，並與 armchair 連結,"[0:07:32.640000-->0:07:33.460000] 既然提到了, | [0:07:33.520000-->0:07:35.080000] 我們就來看看這個字吧。 | [0:07:35.080000-->0:07:36.080000] Arm, | [0:07:36.180000-->0:07:36.760000] 名詞, | [0:07:36.920000-->0:07:37.500000] 手臂。 | [0:07:37.760000-->0:07:39.800000] 難怪Armchair叫扶手椅, | [0:07:40.100000-->0:07:42.200000] 因為是可以放手臂的椅子嗎? | [0:07:42.260000-->0:07:43.300000] 完全正確。 | [0:07:43.560000-->0:07:45.460000] 那關於Arm的例句是 | [0:07:45.460000-->0:07:47.800000] Myarmhurtsafterlifting | [0:07:47.800000-->0:07:48.320000] weights。 | [0:07:48.700000-->0:07:50.540000] 舉重後我的手臂很痛。"
29,470,487,FLASHCARD,ankle,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/ankle.png,,解釋單字 ankle 的意思並舉例,"[0:07:50.800000-->0:07:51.240000] 的確, | [0:07:51.540000-->0:07:53.320000] 運動很容易拉傷手臂。 | [0:07:53.460000-->0:07:54.680000] 不只是手臂喔, | [0:07:54.860000-->0:07:57.180000] 還有一個關節也很容易受傷。 | [0:07:57.480000-->0:07:58.060000] Ankle, | [0:07:58.240000-->0:07:58.860000] 名詞, | [0:07:59.100000-->0:07:59.540000] 腳踝。 | [0:07:59.760000-->0:08:00.280000] Ankle, | [0:08:00.460000-->0:08:01.060000] 腳踝。 | [0:08:01.520000-->0:08:03.180000] Hetwistedhisankleplaying | [0:08:03.180000-->0:08:03.780000] basketball。 | [0:08:03.780000-->0:08:06.720000] 他打籃球時扭傷了腳踝。 | [0:08:06.960000-->0:08:07.180000] 沒錯,"
30,487,504,FLASHCARD,angle,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/angle.png,,解釋單字 angle，並提示與 ankle 的拼法差異,"[0:08:07.620000-->0:08:08.540000] 講到腳踝, | [0:08:08.760000-->0:08:10.960000] 有一個字長得跟他超級像, | [0:08:11.240000-->0:08:12.400000] 很多人會搞混。 | [0:08:12.780000-->0:08:13.260000] 呃, | [0:08:13.340000-->0:08:14.580000] 是哪一個字啊? | [0:08:14.640000-->0:08:15.640000] 就是Angle, | [0:08:15.860000-->0:08:16.460000] 名詞, | [0:08:16.640000-->0:08:17.120000] 腳度。 | [0:08:17.360000-->0:08:17.560000] Oh, | [0:08:18.180000-->0:08:18.660000] Angle, | [0:08:18.740000-->0:08:19.160000] 腳度。 | [0:08:19.640000-->0:08:21.080000] Thecornerformsaright | [0:08:21.080000-->0:08:21.560000] angle。 | [0:08:22.260000-->0:08:24.140000] 這個角落形成一個直角。"
31,504,531,AI,,,"A humorous, slightly exaggerated animation of a person's foot, showing the ankle twisting at a sharp, painful-looking geometric angle, with cartoonish pain lines, aspect ratio 16:9, cinematic wide shot",用生動的聯想故事區分 ankle 和 angle,"[0:08:24.640000-->0:08:26.880000] 這兩個字真的只差一個字母耶。 | [0:08:27.140000-->0:08:27.400000] 對, | [0:08:27.400000-->0:08:28.500000] 一個是K, | [0:08:28.820000-->0:08:29.840000] 一個是G。 | [0:08:30.300000-->0:08:32.960000] 你有沒有什麼好方法可以幫大家記住? | [0:08:32.960000-->0:08:33.880000] 其實啊, | [0:08:33.920000-->0:08:35.300000] 你可以這樣想喔, | [0:08:35.300000-->0:08:36.600000] 如果你的腳踝, | [0:08:36.900000-->0:08:38.540000] 也就是Ankle, | [0:08:38.740000-->0:08:41.280000] 不小心折到一個奇怪的角度, | [0:08:41.340000-->0:08:42.620000] 也就是Angle, | [0:08:42.780000-->0:08:44.560000] 那你就會扭傷啦。 | [0:08:44.880000-->0:08:45.060000] 哇, | [0:08:45.220000-->0:08:47.220000] 這個聯想超生動的啦。 | [0:08:47.520000-->0:08:49.400000] 把這兩個字綁在一起記, | [0:08:49.680000-->0:08:51.040000] 絕對不會忘記。"
32,531,543,AI,,,"A camera lens pulling back from a close-up of a human eye to a vast landscape of mountains, forests, and rivers, symbolizing a shift in perspective, aspect ratio 16:9, cinematic wide shot",串場，將視角從身體部位拉到大自然與文化,"[0:08:51.260000-->0:08:51.420000] 對啊, | [0:08:51.440000-->0:08:54.060000] 這種有畫面的記憶法最有效了。 | [0:08:54.320000-->0:08:56.960000] 那我們看雕個人的身體部位, | [0:08:57.140000-->0:08:59.040000] 現在把視角拉大, | [0:08:59.040000-->0:09:03] 來看看大自然和人類文化相關的單字吧。"
33,543,555,FLASHCARD,animal,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/animal.png,,解釋單字 animal 的意思並舉例,"[0:09:03.160000-->0:09:03.620000] 沒問題, | [0:09:04.040000-->0:09:06.920000] 說到大自然一定會有各種生物。 | [0:09:07.280000-->0:09:07.660000] Animal, | [0:09:08-->0:09:08.540000] 名詞, | [0:09:08.680000-->0:09:09.340000] 動物。 | [0:09:10.200000-->0:09:12.420000] Adogisaloyalanimal。 | [0:09:12.700000-->0:09:14.800000] 狗是一種忠實的動物。 | [0:09:14.940000-->0:09:17.620000] 那如果是很小很小的動物呢?"
